"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tcas002245",162.16236588214,0.602653813302384,0.117015196796417,5.15021834600578,2.60183381733783e-07,2.47581456201112e-05
"Tcas012071",496.996887639231,-0.464621424742294,0.090213575776809,-5.15023842854629,2.60155523075961e-07,2.47581456201112e-05
"Tcas012311",99.1007013402322,0.870096246996578,0.168903984798192,5.15142521969614,2.58514303489562e-07,2.47581456201112e-05
"Tcas005879",104.094986641109,1.12002770537947,0.218575223861254,5.12422078583999,2.98770727173309e-07,2.81848971332545e-05
"Tcas011905",211.852836710541,0.645515130958862,0.126101291829638,5.11902076174564,3.07126153741146e-07,2.87254829093108e-05
"Tcas012447",85.0270662479807,0.653445272344076,0.127706668547641,5.11676703946206,3.10817121709333e-07,2.88243369734341e-05
"Tcas006179",45.9918655492106,1.28998443842321,0.2529697577941,5.09936227030412,3.40799742072273e-07,3.13392569537553e-05
"Tcas006786",409.28895345643,0.782427213796234,0.154064285606955,5.07857619768117,3.80273915470421e-07,3.46778121416068e-05
"Tcas002216",806.308296108997,0.313067239945373,0.0616857864949914,5.07519248329261,3.87103936541906e-07,3.5008912211389e-05
"Tcas008668",832.690161868182,0.416785907412908,0.0822148068092601,5.06947499590747,3.98914537856994e-07,3.57813261292548e-05
"Tcas001035",883.735034535809,0.663548560945266,0.131364327316456,5.05120815140916,4.39024330628019e-07,3.90588882118896e-05
"Tcas010109",79.6651109704917,1.84853871296714,0.366325236559214,5.04616807274847,4.50758921773666e-07,3.9779474846526e-05
"Tcas005596",2720.4518579574,1.57114198872607,0.311783073931737,5.03921514697126,4.67444781229304e-07,4.09219859279382e-05
"Tcas008523",232.256341829542,-1.20689466742944,0.239800148655403,-5.03291876254743,4.83067869360866e-07,4.19540610667933e-05
"Tcas003495",245.977309598903,0.543936404129592,0.108149198256233,5.02950010633337,4.91760228782065e-07,4.2372694358757e-05
"Tcas010773",109.73177968697,2.74834127783359,0.551438344735892,4.98395025313281,6.22991030125169e-07,5.32608659582791e-05
"Tcas002146",1159.40679293726,0.879493342204776,0.176564174772277,4.98115398176952,6.32062198196666e-07,5.36174932935358e-05
"Tcas008765",822.091872103791,0.463786346554072,0.0931487297164695,4.97898734599782,6.39178211085184e-07,5.38040551069628e-05
"Tcas012507",84.8418359497794,0.669261804538233,0.134759358837218,4.96634749759136,6.82256576212486e-07,5.69918604083453e-05
"Tcas000442",206.918553575569,-0.84749166903047,0.171145279491453,-4.95188457168515,7.34981982954141e-07,6.09311199959634e-05
"Tcas005581",141.113988751178,0.699940968845408,0.141659204570083,4.94102004151187,7.77149187704461e-07,6.3942432789849e-05
"Tcas006543",363.64145299716,0.876946773187543,0.178226776611192,4.92039854988027,8.63681591280221e-07,7.05318481595482e-05
"Tcas004215",10.7236828588841,-1.97147814748731,0.401242157017618,-4.91343721741767,8.94933991048093e-07,7.23872556603019e-05
"Tcas007637",716.70981153897,-1.04584660610017,0.212943614548691,-4.91137810502898,9.04385021589106e-07,7.23872556603019e-05
"Tcas012290",128.806570413551,1.22651186487818,0.249749156044111,4.91097501311096,9.06246369867619e-07,7.23872556603019e-05
"Tcas009833",999.327219546728,1.21523396377272,0.247674292686582,4.9065809397931,9.26777531971908e-07,7.34907719736854e-05
"Tcas000280",482.811563521925,0.528515355904383,0.107772265466819,4.90400154079628,9.39037519917984e-07,7.39272487803057e-05
"Tcas005565",178.745302015048,-1.59813934703914,0.326009940860117,-4.90211845326784,9.48086360837731e-07,7.41064931903378e-05
"Tcas009593",52.1206708099594,1.71140805478819,0.349609243418916,4.89520253541325,9.82045343576997e-07,7.62164694664048e-05
"Tcas004197",420.591126909537,0.647611269620387,0.132378311094179,4.89212518476421,9.9752960816534e-07,7.68730035362909e-05
"Tcas002595",179.660049885669,0.428826638519666,0.0878777285340977,4.87981022806337,1.06187967908184e-06,8.12597855118363e-05
"Tcas012456",1834.46710354992,0.248349730633972,0.0509257583679173,4.87670166519169,1.0787439690058e-06,8.1977050366878e-05
"Tcas003270",285.656326716144,0.48763282024691,0.100427896684982,4.85555145873954,1.20052172131656e-06,8.87999184570711e-05
"Tcas003334",30.9452439067089,1.7155644128834,0.353247522940685,4.85655043976477,1.19448364639739e-06,8.87999184570711e-05
"Tcas007250",75.7347524251343,-1.40670354314122,0.289485908507054,-4.85931612490543,1.17791922816383e-06,8.87999184570711e-05
"Tcas012051",56.802187127919,1.90469888660727,0.392278600172345,4.85547487364963,1.20098582944773e-06,8.87999184570711e-05
"Tcas004274",706.050250518718,0.857497208211469,0.176701508286781,4.85280072889801,1.21729991112456e-06,8.94021001841349e-05
